,data,hidden_features,embedding_features,learning_rate,weight_decay,depth,dropout,edge_drop,patience,factor,num_samples,num_particles,num_heads,accuracy_vl,accuracy_te
0,cora,32,64,0.01,0.001,2,0.5,0.2,5,0.5,64,64,8,0.65,0.664
0,cora,32,32,0.01,0.001,2,0.5,0.2,5,0.5,64,64,16,0.798,0.79
0,cora,32,32,0.01,0.001,2,0.5,0.2,5,0.5,64,64,2,0.754,0.77
0,cora,32,32,0.01,0.001,2,0.5,0.2,5,0.5,64,64,4,0.796,0.788
0,cora,32,64,0.01,0.001,2,0.5,0.2,5,0.5,64,64,2,0.79,0.785
0,cora,32,128,0.01,0.001,2,0.5,0.2,5,0.5,64,64,2,0.642,0.664
0,cora,32,32,0.01,0.001,2,0.5,0.2,5,0.5,64,64,8,0.798,0.79
0,cora,32,128,0.01,0.001,2,0.5,0.2,5,0.5,64,64,4,0.668,0.667
0,cora,32,64,0.01,0.001,2,0.5,0.2,5,0.5,64,64,4,0.796,0.8
0,cora,32,128,0.01,0.001,2,0.5,0.2,5,0.5,64,64,8,0.438,0.44
0,cora,32,32,0.01,0.001,3,0.5,0.2,5,0.5,64,64,4,0.81,0.814
0,cora,32,32,0.01,0.001,3,0.5,0.2,5,0.5,64,64,8,0.818,0.806
0,cora,32,64,0.01,0.001,2,0.5,0.2,5,0.5,64,64,16,0.798,0.79
0,cora,32,128,0.01,0.001,2,0.5,0.2,5,0.5,64,64,16,0.792,0.789
0,cora,32,32,0.01,0.001,3,0.5,0.2,5,0.5,64,64,2,0.804,0.789
0,cora,32,64,0.01,0.001,3,0.5,0.2,5,0.5,64,64,2,0.376,0.403
0,cora,32,64,0.01,0.001,3,0.5,0.2,5,0.5,64,64,4,0.776,0.779
0,cora,32,64,0.01,0.001,3,0.5,0.2,5,0.5,64,64,8,0.802,0.79
0,cora,32,128,0.01,0.001,3,0.5,0.2,5,0.5,64,64,2,0.702,0.709
0,cora,32,128,0.01,0.001,3,0.5,0.2,5,0.5,64,64,4,0.36,0.396
0,cora,32,32,0.01,0.001,4,0.5,0.2,5,0.5,64,64,2,0.776,0.784
0,cora,32,32,0.01,0.001,4,0.5,0.2,5,0.5,64,64,4,0.806,0.807
0,cora,32,32,0.01,0.001,3,0.5,0.2,5,0.5,64,64,16,0.81,0.804
0,cora,32,128,0.01,0.001,3,0.5,0.2,5,0.5,64,64,8,0.79,0.773
0,cora,32,32,0.01,0.001,4,0.5,0.2,5,0.5,64,64,8,0.808,0.807
0,cora,32,64,0.01,0.001,3,0.5,0.2,5,0.5,64,64,16,0.81,0.812
0,cora,32,128,0.01,0.001,3,0.5,0.2,5,0.5,64,64,16,0.788,0.786
0,cora,32,32,0.01,0.001,4,0.5,0.2,5,0.5,64,64,16,0.81,0.795
0,cora,32,64,0.01,0.001,4,0.5,0.2,5,0.5,64,64,2,0.742,0.73
0,cora,32,64,0.01,0.001,4,0.5,0.2,5,0.5,64,64,4,0.784,0.783
0,cora,64,32,0.01,0.001,2,0.5,0.2,5,0.5,64,64,4,0.804,0.794
0,cora,64,32,0.01,0.001,2,0.5,0.2,5,0.5,64,64,2,0.802,0.797
0,cora,64,32,0.01,0.001,2,0.5,0.2,5,0.5,64,64,8,0.798,0.801
0,cora,32,128,0.01,0.001,4,0.5,0.2,5,0.5,64,64,2,0.404,0.398
0,cora,32,64,0.01,0.001,4,0.5,0.2,5,0.5,64,64,8,0.814,0.798
0,cora,32,128,0.01,0.001,4,0.5,0.2,5,0.5,64,64,4,0.358,0.375
0,cora,64,32,0.01,0.001,2,0.5,0.2,5,0.5,64,64,16,0.8,0.798
0,cora,32,128,0.01,0.001,4,0.5,0.2,5,0.5,64,64,8,0.758,0.731
0,cora,32,128,0.01,0.001,4,0.5,0.2,5,0.5,64,64,16,0.78,0.776
0,cora,32,64,0.01,0.001,4,0.5,0.2,5,0.5,64,64,16,0.8,0.797
0,cora,64,64,0.01,0.001,2,0.5,0.2,5,0.5,64,64,2,0.798,0.804
0,cora,32,32,0.01,0.001,5,0.5,0.2,5,0.5,64,64,2,0.792,0.782
0,cora,64,64,0.01,0.001,2,0.5,0.2,5,0.5,64,64,8,0.784,0.796
0,cora,64,128,0.01,0.001,2,0.5,0.2,5,0.5,64,64,2,0.796,0.797
0,cora,64,64,0.01,0.001,2,0.5,0.2,5,0.5,64,64,4,0.802,0.797
0,cora,64,128,0.01,0.001,2,0.5,0.2,5,0.5,64,64,4,0.798,0.795
0,cora,64,64,0.01,0.001,2,0.5,0.2,5,0.5,64,64,16,0.766,0.768
0,cora,32,32,0.01,0.001,5,0.5,0.2,5,0.5,64,64,4,0.788,0.78
0,cora,32,32,0.01,0.001,5,0.5,0.2,5,0.5,64,64,8,0.788,0.771
0,cora,32,64,0.01,0.001,5,0.5,0.2,5,0.5,64,64,2,0.754,0.758
0,cora,32,64,0.01,0.001,5,0.5,0.2,5,0.5,64,64,8,0.782,0.786
0,cora,32,128,0.01,0.001,5,0.5,0.2,5,0.5,64,64,4,0.708,0.716
0,cora,32,64,0.01,0.001,5,0.5,0.2,5,0.5,64,64,4,0.77,0.768
0,cora,32,128,0.01,0.001,5,0.5,0.2,5,0.5,64,64,2,0.536,0.585
0,cora,32,128,0.01,0.001,5,0.5,0.2,5,0.5,64,64,8,0.746,0.744
0,cora,32,32,0.01,0.001,5,0.5,0.2,5,0.5,64,64,16,0.796,0.802
0,cora,32,64,0.01,0.001,5,0.5,0.2,5,0.5,64,64,16,0.8,0.782
0,cora,32,128,0.01,0.001,5,0.5,0.2,5,0.5,64,64,16,0.79,0.793
0,cora,64,128,0.01,0.001,2,0.5,0.2,5,0.5,64,64,8,0.796,0.798
0,cora,64,128,0.01,0.001,2,0.5,0.2,5,0.5,64,64,16,0.806,0.81
0,cora,64,32,0.01,0.001,3,0.5,0.2,5,0.5,64,64,2,0.804,0.803
0,cora,64,32,0.01,0.001,3,0.5,0.2,5,0.5,64,64,4,0.82,0.821
0,cora,64,32,0.01,0.001,3,0.5,0.2,5,0.5,64,64,8,0.816,0.805
0,cora,64,64,0.01,0.001,3,0.5,0.2,5,0.5,64,64,4,0.804,0.807
0,cora,64,64,0.01,0.001,3,0.5,0.2,5,0.5,64,64,8,0.81,0.803
0,cora,64,64,0.01,0.001,3,0.5,0.2,5,0.5,64,64,2,0.816,0.824
0,cora,64,32,0.01,0.001,3,0.5,0.2,5,0.5,64,64,16,0.782,0.776
0,cora,64,64,0.01,0.001,3,0.5,0.2,5,0.5,64,64,16,0.804,0.786
0,cora,64,128,0.01,0.001,3,0.5,0.2,5,0.5,64,64,4,0.82,0.811
0,cora,64,128,0.01,0.001,3,0.5,0.2,5,0.5,64,64,2,0.796,0.782
0,cora,64,128,0.01,0.001,3,0.5,0.2,5,0.5,64,64,8,0.814,0.807
0,cora,64,128,0.01,0.001,3,0.5,0.2,5,0.5,64,64,16,0.816,0.799
0,cora,64,64,0.01,0.001,4,0.5,0.2,5,0.5,64,64,2,0.8,0.794
0,cora,64,32,0.01,0.001,4,0.5,0.2,5,0.5,64,64,8,0.806,0.797
0,cora,64,32,0.01,0.001,4,0.5,0.2,5,0.5,64,64,2,0.804,0.805
0,cora,64,64,0.01,0.001,4,0.5,0.2,5,0.5,64,64,4,0.818,0.819
0,cora,64,32,0.01,0.001,4,0.5,0.2,5,0.5,64,64,4,0.806,0.8
0,cora,64,64,0.01,0.001,4,0.5,0.2,5,0.5,64,64,8,0.824,0.794
0,cora,64,128,0.01,0.001,4,0.5,0.2,5,0.5,64,64,4,0.812,0.807
0,cora,64,128,0.01,0.001,4,0.5,0.2,5,0.5,64,64,2,0.802,0.801
0,cora,64,32,0.01,0.001,4,0.5,0.2,5,0.5,64,64,16,0.816,0.811
0,cora,64,64,0.01,0.001,4,0.5,0.2,5,0.5,64,64,16,0.808,0.795
0,cora,64,128,0.01,0.001,4,0.5,0.2,5,0.5,64,64,8,0.794,0.806
0,cora,64,128,0.01,0.001,4,0.5,0.2,5,0.5,64,64,16,0.822,0.822
0,cora,64,32,0.01,0.001,5,0.5,0.2,5,0.5,64,64,2,0.792,0.787
0,cora,64,32,0.01,0.001,5,0.5,0.2,5,0.5,64,64,4,0.814,0.804
0,cora,128,32,0.01,0.001,2,0.5,0.2,5,0.5,64,64,2,0.808,0.797
0,cora,128,32,0.01,0.001,2,0.5,0.2,5,0.5,64,64,4,0.8,0.792
0,cora,128,64,0.01,0.001,2,0.5,0.2,5,0.5,64,64,2,0.806,0.775
0,cora,64,64,0.01,0.001,5,0.5,0.2,5,0.5,64,64,2,0.784,0.779
0,cora,64,32,0.01,0.001,5,0.5,0.2,5,0.5,64,64,8,0.81,0.793
0,cora,64,64,0.01,0.001,5,0.5,0.2,5,0.5,64,64,8,0.816,0.8
0,cora,64,64,0.01,0.001,5,0.5,0.2,5,0.5,64,64,4,0.768,0.763
0,cora,128,64,0.01,0.001,2,0.5,0.2,5,0.5,64,64,4,0.804,0.805
0,cora,128,32,0.01,0.001,2,0.5,0.2,5,0.5,64,64,16,0.792,0.794
0,cora,128,32,0.01,0.001,2,0.5,0.2,5,0.5,64,64,8,0.768,0.752
0,cora,128,64,0.01,0.001,2,0.5,0.2,5,0.5,64,64,8,0.802,0.795
0,cora,128,64,0.01,0.001,2,0.5,0.2,5,0.5,64,64,16,0.798,0.787
0,cora,64,128,0.01,0.001,5,0.5,0.2,5,0.5,64,64,2,0.736,0.732
0,cora,64,32,0.01,0.001,5,0.5,0.2,5,0.5,64,64,16,0.83,0.814
0,cora,64,64,0.01,0.001,5,0.5,0.2,5,0.5,64,64,16,0.798,0.795
0,cora,128,128,0.01,0.001,2,0.5,0.2,5,0.5,64,64,2,0.804,0.8
0,cora,128,128,0.01,0.001,2,0.5,0.2,5,0.5,64,64,4,0.808,0.797
0,cora,128,128,0.01,0.001,2,0.5,0.2,5,0.5,64,64,8,0.808,0.813
0,cora,128,128,0.01,0.001,2,0.5,0.2,5,0.5,64,64,16,0.796,0.802
0,cora,64,128,0.01,0.001,5,0.5,0.2,5,0.5,64,64,4,0.794,0.791
0,cora,64,128,0.01,0.001,5,0.5,0.2,5,0.5,64,64,16,0.798,0.797
0,cora,64,128,0.01,0.001,5,0.5,0.2,5,0.5,64,64,8,0.8,0.781
0,cora,128,32,0.01,0.001,3,0.5,0.2,5,0.5,64,64,2,0.814,0.807
0,cora,128,32,0.01,0.001,3,0.5,0.2,5,0.5,64,64,4,0.806,0.792
0,cora,128,64,0.01,0.001,3,0.5,0.2,5,0.5,64,64,2,0.808,0.811
0,cora,128,64,0.01,0.001,3,0.5,0.2,5,0.5,64,64,4,0.81,0.8
0,cora,128,32,0.01,0.001,3,0.5,0.2,5,0.5,64,64,8,0.818,0.807
0,cora,128,32,0.01,0.001,3,0.5,0.2,5,0.5,64,64,16,0.804,0.806
0,cora,128,64,0.01,0.001,3,0.5,0.2,5,0.5,64,64,8,0.81,0.804
0,cora,128,128,0.01,0.001,3,0.5,0.2,5,0.5,64,64,2,0.82,0.815
0,cora,128,128,0.01,0.001,3,0.5,0.2,5,0.5,64,64,4,0.802,0.794
0,cora,128,64,0.01,0.001,3,0.5,0.2,5,0.5,64,64,16,0.802,0.789
0,cora,128,128,0.01,0.001,3,0.5,0.2,5,0.5,64,64,8,0.814,0.805
0,cora,128,128,0.01,0.001,3,0.5,0.2,5,0.5,64,64,16,0.812,0.814
0,cora,128,32,0.01,0.001,4,0.5,0.2,5,0.5,64,64,2,0.806,0.793
0,cora,128,128,0.01,0.001,4,0.5,0.2,5,0.5,64,64,2,0.81,0.804
0,cora,128,64,0.01,0.001,4,0.5,0.2,5,0.5,64,64,2,0.806,0.798
0,cora,128,32,0.01,0.001,4,0.5,0.2,5,0.5,64,64,8,0.814,0.807
0,cora,128,32,0.01,0.001,4,0.5,0.2,5,0.5,64,64,4,0.81,0.809
0,cora,128,64,0.01,0.001,4,0.5,0.2,5,0.5,64,64,4,0.812,0.81
0,cora,128,64,0.01,0.001,4,0.5,0.2,5,0.5,64,64,8,0.816,0.814
0,cora,128,32,0.01,0.001,4,0.5,0.2,5,0.5,64,64,16,0.81,0.81
0,cora,128,64,0.01,0.001,4,0.5,0.2,5,0.5,64,64,16,0.81,0.805
0,cora,128,128,0.01,0.001,4,0.5,0.2,5,0.5,64,64,4,0.812,0.807
0,cora,128,128,0.01,0.001,4,0.5,0.2,5,0.5,64,64,8,0.816,0.81
0,cora,128,128,0.01,0.001,4,0.5,0.2,5,0.5,64,64,16,0.814,0.809
0,cora,128,32,0.01,0.001,5,0.5,0.2,5,0.5,64,64,2,0.81,0.799
0,cora,128,32,0.01,0.001,5,0.5,0.2,5,0.5,64,64,4,0.818,0.806
0,cora,128,64,0.01,0.001,5,0.5,0.2,5,0.5,64,64,2,0.8,0.783
0,cora,128,32,0.01,0.001,5,0.5,0.2,5,0.5,64,64,8,0.82,0.809
0,cora,128,32,0.01,0.001,5,0.5,0.2,5,0.5,64,64,16,0.814,0.803
0,cora,128,128,0.01,0.001,5,0.5,0.2,5,0.5,64,64,2,0.778,0.769
0,cora,128,128,0.01,0.001,5,0.5,0.2,5,0.5,64,64,4,0.786,0.789
0,cora,128,64,0.01,0.001,5,0.5,0.2,5,0.5,64,64,4,0.826,0.818
0,cora,128,64,0.01,0.001,5,0.5,0.2,5,0.5,64,64,8,0.814,0.816
